,Comments,Sample,CsPbI,FAPbI,MAPbI
0,-,#0-D1-6-CsPbI0.75 FAPbI0.0 MAPbI0.25 ,0.75,0.0,0.25
1,-,#1-C1-22-CsPbI0.0 FAPbI1.0 MAPbI0.0 ,0.0,1.0,0.0
2,-,#2-B1-12-CsPbI0.5 FAPbI0.0 MAPbI0.5 ,0.5,0.0,0.5
3,-,#3-A1-2-CsPbI1.0 FAPbI0.0 MAPbI0.0 ,1.0,0.0,0.0
4,-,#4-D2-8-CsPbI0.5 FAPbI0.5 MAPbI0.0 ,0.5,0.5,0.0
5,-,#5-C2-21-CsPbI0.0 FAPbI1.0 MAPbI0.0 ,0.0,1.0,0.0
6,-,#6-B2-11-CsPbI0.5 FAPbI0.0 MAPbI0.5 ,0.5,0.0,0.5
7,-,#7-A2-1-CsPbI1.0 FAPbI0.0 MAPbI0.0 ,1.0,0.0,0.0
8,-,#8-D3-24-CsPbI0.0 FAPbI0.75 MAPbI0.25 ,0.0,0.75,0.25
9,-,#9-C3-23-CsPbI0.0 FAPbI0.75 MAPbI0.25 ,0.0,0.75,0.25
10,-,#10-B3-13-CsPbI0.25 FAPbI0.75 MAPbI0.0 ,0.25,0.75,0.0
11,-,#11-A3-3-CsPbI0.75 FAPbI0.25 MAPbI0.0 ,0.75,0.25,0.0
12,-,#12-D4-26-CsPbI0.0 FAPbI0.5 MAPbI0.5 ,0.0,0.5,0.5
13,-,#13-C4-25-CsPbI0.0 FAPbI0.5 MAPbI0.5 ,0.0,0.5,0.5
14,-,#14-B4-15-CsPbI0.25 FAPbI0.5 MAPbI0.25 ,0.25,0.5,0.25
15,-,#15-A4-5-CsPbI0.75 FAPbI0.0 MAPbI0.25 ,0.75,0.0,0.25
16,-,#16-D5-28-CsPbI0.0 FAPbI0.25 MAPbI0.75 ,0.0,0.25,0.75
17,-,#17-C5-27-CsPbI0.0 FAPbI0.25 MAPbI0.75 ,0.0,0.25,0.75
18,-,#18-B5-17-CsPbI0.25 FAPbI0.25 MAPbI0.5 ,0.25,0.25,0.5
19,-,#19-A5-7-CsPbI0.5 FAPbI0.5 MAPbI0.0 ,0.5,0.5,0.0
20,-,#20-D6-16-CsPbI0.25 FAPbI0.5 MAPbI0.25 ,0.25,0.5,0.25
21,-,#21-C6-29-CsPbI0.0 FAPbI0.0 MAPbI1.0 ,0.0,0.0,1.0
22,-,#22-B6-19-CsPbI0.25 FAPbI0.0 MAPbI0.75 ,0.25,0.0,0.75
23,-,#23-A6-9-CsPbI0.5 FAPbI0.25 MAPbI0.25 ,0.5,0.25,0.25
24,-,#24-D7-18-CsPbI0.25 FAPbI0.25 MAPbI0.5 ,0.25,0.25,0.5
25,-,#25-C7-30-CsPbI0.0 FAPbI0.0 MAPbI1.0 ,0.0,0.0,1.0
26,-,#26-B7-4-CsPbI0.75 FAPbI0.25 MAPbI0.0 ,0.75,0.25,0.0
27,-,#27-A7-10-CsPbI0.5 FAPbI0.25 MAPbI0.25 ,0.5,0.25,0.25
